-----------------------------------------------
Infinite Cylinder Data File
Nmax: Auto-adjust
Mmax: 30

Domain data: Wavelength
(Min: 300,Max: 500,Step: 2)
Incid. Angle: 0.5 * Pi
Fixed Diameter: 100

Cylinder Refractive index: Fftgtgrom file C:\Users\Catee\Desktop\CRYSTALS_Si_sopra110.txt
Medium Refractive index: Fixed value = 1
-----------------------------------------------

Data Format:
[Wavelength (nm)]   [QscatI]   [QextI]   [QscatII]  [QextII]
450    2.89899780541357    3.09908604770278    1.60763649408747    1.80167809549568
452    2.9625225654638    3.15174768649114    1.5654222616359    1.73852271853662
454    3.0243347471628    3.20589169607311    1.52751886181615    1.6845467784246
456    3.08484046884997    3.26051829660732    1.49459873919917    1.63874431530716
458    3.14423678208223    3.31540827674543    1.46639352833643    1.60013016253072
460    3.20261067952078    3.37017339866132    1.44261386438576    1.56777174476905
462    3.259940742135    3.42426711822572    1.42292546049125    1.54075360351311
464    3.31694961983479    3.47873572684223    1.40665541878714    1.51840103547007
466    3.37429510302777    3.53445639136575    1.39343391061892    1.50030824575636
468    3.43207672416831    3.59144868655111    1.38309483164068    1.48613750750923
470    3.49014481028737    3.64946689383889    1.37545200035598    1.47555265313991
472    3.54832587825002    3.70831642383923    1.37027504976801    1.46823322421415
